Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Year Bucket,Year bin
 Workflow Coordinator,2 - 7 yrs,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.22193879999998,28.6517178,2063,2,0-5
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270015,28.42826235,6979,2,0-5
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs,Chennai,Other,Other,Other,80.270186,13.0836939,1513,0,0-5
 Tooling &amp; Sampling,2 - 7 yrs,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622,2,0-5
 Account Manager,3 - 7 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.0759899,5324,3,0-5
 Magento Developer,2 - 7 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891,2,0-5
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493,0,0-5
 Business Development / Corporate Sales,0 - 4 yrs,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.12121479999998,28.6882438,1564,0,0-5
 Business Development Manager (BDM),2 - 5 yrs,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.22193879999998,28.6517178,5439,2,0-5
 QA Executive,2 - 5 yrs,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434,2,0-5
 Back End Java Developer - Restful Services/soap,6 - 8 yrs,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114,6,0-5
 Product Engineer,4 - 9 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897,4,0-5
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626,3,0-5
 Urgent Hiring for Area Sales Manager,7 - 12 yrs,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724,7,6-10
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562,4,0-5
 Linux Administrator Lead,5 - 10 yrs,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270015,28.42826235,5425,5,0-5
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,78.4740613,17.360589,5286,8,6-10
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5198,6,0-5
 Strong Partner Ecosystem,2 - 7 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,77.3271074,28.5707841,4494,2,0-5
 Wordpress Web Developer,3 - 6 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.590082,12.9767936,4689,3,0-5
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,72.8773928,19.0759899,3815,2,0-5
 Accounts Manager,2 - 3 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,72.8773928,19.0759899,3252,2,0-5
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3087,0,0-5
 nutanix sme ,15 - 20 yrs,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965,15,11-17
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.0759899,3883,10,6-10
